cap_Seg,cap_Ter,cap_Qua,cap_Sab,bank_min,mean_profit,sd_profit,p_neg,mean_stake,mean_roi_turn,sharpe_ann_bank,sharpe_ann_turn
500,200,200,700,14000.0,2868.1248049,2650.3239783724753,0.1362,54269.373,0.05650375060968966,3.748777828728688,3.714582448500061
500,200,200,1000,20000.0,2712.7107896999996,2947.3802475674506,0.1753,56852.72086666667,0.05189801449814816,3.188290969839082,3.1978862228807197
500,200,300,200,10000.0,2197.0763242999997,1815.5659150913805,0.1105,43744.9867,0.053000609547903574,4.192023864473949,4.031192524096256
500,200,300,300,10000.0,2388.363073633333,1927.5081679357827,0.10496666666666667,48242.9592,0.05254992334193933,4.292346210791385,4.132421253295389
500,200,300,400,10000.0,2631.3609403666665,2102.8201203230474,0.1032,51165.0502,0.05448791853145645,4.33479858568893,4.1968775611042135
500,200,300,500,10000.0,2825.5778800333333,2308.835546524451,0.10766666666666666,53489.04713333333,0.05592674881356348,4.239404973063257,4.131720821956599
500,200,300,700,14000.0,2950.5535538,2664.2515518174405,0.13066666666666665,56642.73106666667,0.055341407723365696,3.8363559643220144,3.7924532619838756
500,200,300,1000,20000.0,2795.1395386,2945.395182090298,0.1689,59226.07893333333,0.05092402117234239,3.2873848131061454,3.2851354553570533
500,200,400,200,10000.0,2424.544226966667,1856.2349876554558,0.0924,45456.943333333336,0.05590350101913494,4.524679056511297,4.335412308750316
500,200,400,300,10000.0,2615.8309763,1967.560995745693,0.08933333333333333,49954.91583333333,0.05514812860467062,4.60545026533927,4.420454136895271
500,200,400,400,10000.0,2858.828843033333,2140.584675413426,0.08883333333333333,52877.00683333333,0.05686526738694874,4.626433948772187,4.469414178826834
500,200,400,500,10000.0,3053.0457826999996,2343.930178231026,0.09413333333333333,55201.00376666667,0.05814558261263081,4.51210574664915,4.389689797158595
500,200,400,700,14000.0,3178.0214564666658,2687.880665396548,0.11506666666666666,58354.6877,0.05744506335277705,4.09578795741084,4.037544373210267
500,200,400,1000,20000.0,3022.6074412666662,2956.353732303915,0.15196666666666667,60938.035566666666,0.053041989012872846,3.541734267049092,3.521500563718709
500,200,500,200,10000.0,2643.9033472999995,1928.934065790322,0.07996666666666667,46944.16386666667,0.058673753300983594,4.748088604001882,4.552078262724815
500,200,500,300,10000.0,2835.190096633333,2038.763838692702,0.0792,51442.136366666666,0.05765113552221594,4.817324305333851,4.628154804313278
500,200,500,400,10000.0,3078.1879633666663,2208.1692311352213,0.07846666666666667,54364.227366666666,0.05917688532067972,4.82895773804172,4.669658031684279
500,200,500,500,10000.0,3272.404903033333,2407.4234671498593,0.08336666666666667,56688.2243,0.06031853859593337,4.708744956865881,4.584728840128239
500,200,500,700,14000.0,3397.3805767999997,2737.6310184243935,0.10356666666666667,59841.908233333335,0.059512361771167796,4.2989254081815345,4.23445311650883
500,200,500,1000,20000.0,3241.9665615999997,2992.97591198529,0.1377,62425.2561,0.055109464674884534,3.7522859964521986,3.72003007308549
500,200,700,200,14000.0,2910.1016689000003,2057.738835033899,0.07196666666666666,48927.3776,0.06198370324053302,4.899012313817506,4.6898158854198195
500,200,700,300,14000.0,3101.388418233333,2156.9711662074887,0.07096666666666666,53425.3501,0.060654766124794215,4.980838314895743,4.777921151971423
500,200,700,400,14000.0,3344.3862849666666,2311.470895319495,0.0678,56347.4411,0.06194233127646715,5.012087305471457,4.834516364953758
500,200,700,500,14000.0,3538.603224633333,2496.263529003323,0.0717,58671.43803333333,0.06291001438209197,4.9105717418698385,4.7659575262898635
500,200,700,700,14000.0,3663.5788983999996,2802.4123647539327,0.08976666666666666,61825.121966666666,0.06196351597883915,4.528601764232644,4.440144947946098
500,200,700,1000,20000.0,3508.164883199999,3031.1141067288295,0.12,64408.469833333336,0.0575551091347202,4.00929797102814,3.9477025005542483
500,200,1000,200,20000.0,2805.924837566666,2354.0679957742946,0.1149,50549.231733333334,0.058640335860364316,4.129026340453156,3.991540224873
500,200,1000,300,20000.0,2997.2115869,2421.0809305304333,0.1057,55047.20423333333,0.05754808568883887,4.288433884287856,4.142569536325881
500,200,1000,400,20000.0,3240.2094536333334,2535.6265670127345,0.09616666666666666,57969.29523333333,0.058911761685106104,4.426682914487496,4.278300733476253
500,200,1000,500,20000.0,3434.4263932999997,2683.300472195986,0.09583333333333334,60293.292166666666,0.05993236334264818,4.433794179734823,4.29632085062909
500,200,1000,700,20000.0,3559.4020670666664,2943.8552114584913,0.10773333333333333,63446.9761,0.059101118744537974,4.1884296488010735,4.088970739715093
500,200,1000,1000,20000.0,3403.9880518666664,3131.083775886494,0.133,66030.32396666666,0.05485831721032434,3.7660316211253,3.6916015880422037
700,200,200,200,14000.0,2086.7569432666664,1925.8293017311573,0.1371,41925.6,0.052905210142486,3.753571560611295,3.676306201610078
700,200,200,300,14000.0,2278.0436925999998,1994.0926864352928,0.121,46423.5725,0.05253933383229528,3.9573761483459027,3.8555791088793594
700,200,200,400,14000.0,2521.041559333333,2140.0210869798875,0.11533333333333333,49345.6635,0.05458853068613783,4.080868263705142,3.9748050787958875
700,200,200,500,14000.0,2715.2584989999996,2325.3910774586284,0.1167,51669.66043333333,0.056106564812046074,4.04488150104281,3.9520402178078626
700,200,200,700,14000.0,2840.2341727666667,2664.2369571280556,0.1373,54823.344366666664,0.055525635141138355,3.692937206252241,3.653753557145719
700,200,200,1000,20000.0,2684.820157566666,2954.8370147133783,0.1761,57406.692233333335,0.05099198637683299,3.1475474951308757,3.1529087729771517
700,200,300,200,14000.0,2169.1856921666663,1944.9960967263955,0.12993333333333335,44298.958066666666,0.05181653786540081,3.863390611639515,3.7579560766742626
700,200,300,300,14000.0,2360.4724415,2016.5034548825765,0.1183,48796.93056666667,0.05148164506743691,4.0549974646904134,3.9312485061887754
700,200,300,400,14000.0,2603.4703082333335,2160.744701304826,0.11103333333333333,51719.02156666667,0.053465765019496805,4.173878429167543,4.051718958859824
700,200,300,500,14000.0,2797.6872478999994,2343.7591023218333,0.1127,54043.0185,0.05493728328071952,4.1350123843785305,4.030542996549982
700,200,300,700,14000.0,2922.6629216666665,2671.4011227367305,0.13286666666666666,57196.70243333333,0.054411627254819975,3.789921798444381,3.739609790937142
700,200,300,1000,20000.0,2767.2489064666665,2946.789862249565,0.17076666666666668,59780.0503,0.05006107524797948,3.2530420744224475,3.2454406037641905
700,200,400,200,14000.0,2396.6535948333335,1975.833748953607,0.1103,46010.9147,0.05472939270632081,4.20189785359456,4.064398479081272
700,200,400,300,14000.0,2587.9403441666664,2047.8953019972714,0.10113333333333334,50508.8872,0.05408853798264686,4.377610670508705,4.2245227329227
700,200,400,400,14000.0,2830.9382109,2191.0382032873713,0.09726666666666667,53430.9782,0.055851653517828545,4.475804033914263,4.330733118854551
700,200,400,500,14000.0,3025.155150566666,2372.3562715393778,0.09843333333333333,55754.97513333333,0.05716456037488285,4.417314957639298,4.295124175926486
700,200,400,700,14000.0,3150.1308243333324,2689.689675125834,0.1167,58908.65906666667,0.0565226540805907,4.057112378943047,3.9905675000498873
700,200,400,1000,20000.0,2994.7168091333324,2952.9350744558983,0.1526,61492.00693333333,0.05218467415169962,3.513115958809373,3.4860779718474406
700,200,500,200,14000.0,2616.012715166666,2037.7293293340135,0.0959,47498.135233333334,0.05750754979051118,4.447172517653025,4.2943584786957905
700,200,500,300,14000.0,2807.2994644999994,2110.0664447541844,0.09033333333333333,51996.10773333333,0.05659835764449831,4.608750891862415,4.444456112914814
700,200,500,400,14000.0,3050.2973312333334,2251.177586139333,0.08606666666666667,54918.19873333333,0.05816996220256767,4.6937833677959215,4.541622694320803
700,200,500,500,14000.0,3244.5142708999997,2429.6083767199584,0.0878,57242.19566666667,0.059344137540516324,4.625983032432412,4.499080948983366
700,200,500,700,14000.0,3369.4899446666664,2734.5191872537957,0.10546666666666667,60395.8796,0.058595726197621385,4.2684855216658235,4.19413033524738
700,200,500,1000,20000.0,3214.0759294666664,2985.1208499024965,0.1381,62979.22746666666,0.05425653874795477,3.7297939273729996,3.689480197094831
700,200,700,200,14000.0,2882.211036766666,2156.464664498738,0.0847,49481.348966666665,0.06083729274147894,4.629926041450847,4.458567464212269
700,200,700,300,14000.0,3073.4977860999998,2221.000578507439,0.08006666666666666,53979.32146666667,0.05961886248911864,4.793744201591463,4.6123116080143
700,200,700,400,14000.0,3316.4956528333337,2349.294238165204,0.07546666666666667,56901.41246666667,0.06095151401557021,4.890267792317889,4.718594795807097
700,200,700,500,14000.0,3510.7125924999996,2514.5849094511373,0.0772,59225.4094,0.06195122079640523,4.83637085240371,4.6885471916176185
700,200,700,700,14000.0,3635.6882662666662,2796.6020812959473,0.09306666666666667,62379.09333333333,0.06106102067973314,4.503462855707914,4.4049618117758635
700,200,700,1000,20000.0,3480.274251066666,3020.7931000603553,0.12093333333333334,64962.4412,0.05671430704993276,3.991012709212524,3.920968627377664
700,200,1000,200,20000.0,2778.034205433333,2448.492606529583,0.1272,51103.2031,0.05757645924082823,3.9303336070062436,3.822075165395357
700,200,1000,300,20000.0,2969.320954766667,2485.8360785728073,0.114,55601.1756,0.05658274383010072,4.137855107958328,4.012342779361842
700,200,1000,400,20000.0,3212.3188215000005,2577.424486650219,0.10373333333333333,58523.2666,0.05798589139121301,4.317410219206047,4.179671088569394
700,200,1000,500,20000.0,3406.5357611666664,2707.274693150051,0.1014,60847.26353333333,0.05903468590896355,4.358843253748806,4.224861330214004
700,200,1000,700,20000.0,3531.5114349333326,2944.686880551251,0.11203333333333333,64000.947466666665,0.05825450057044949,4.154436434796717,4.051090276592693
700,200,1000,1000,20000.0,3376.097419733333,3127.083787885705,0.13543333333333332,66584.29533333333,0.054069077291454264,3.739952402256547,3.6617392854844786
1000,200,200,200,20000.0,1957.6261432666665,2159.5599603295723,0.17723333333333333,42610.01,0.04948427481408041,3.1401841158839754,3.1464541225717557
1000,200,200,300,20000.0,2148.9128925999994,2185.2542510079043,0.1537,47107.9825,0.049417431551696804,3.406492685513635,3.3811303954592042
1000,200,200,400,20000.0,2391.9107593333333,2290.307215112831,0.13796666666666665,50030.0735,0.05160993212556013,3.6177775060031743,3.5656773919333355
1000,200,200,500,20000.0,2586.1276989999997,2442.521424137587,0.13293333333333332,52354.070433333334,0.05323016918405815,3.667770956081385,3.6097001356303626
