ts,Tipo,DOW_name,ROI,score_retro,model_used,n_casas,dif_odd_1_2,dif_odd_1_med,dif_odds_rb_bia,m2ms,tempo_total_bot,Subtipo,dow_pt,turno,Casa_vencedora
2025-08-28 11:39:00,FT,Qui,1.1760000000000002,0.5193976720368789,global_fallback,9.0,0.0,0.03,0.016544117647058838,201.0,,"+0,75",quinta-feira,manhã,sbo
2025-08-28 11:58:00,FT,Qui,-1.0,0.5110145298078738,global_fallback,9.0,0.06,0.06,0.0033159639981052186,302.0,,"-1,25",quinta-feira,manhã,sbo
2025-08-28 11:58:00,FT,Qui,-1.0,0.5110145298078738,global_fallback,9.0,0.06,0.06,0.0033159639981052186,302.0,,"-1,25",quinta-feira,manhã,sbo
2025-08-28 12:00:00,FT,Qui,0.8999999999999999,0.4553944785975463,global_fallback,9.0,0.0,0.02,0.0,359.0,,"-0,25",quinta-feira,tarde,pin88
2025-08-28 16:15:00,FH,Qui,-0.5,0.4718061061076279,global_fallback,1.0,,,0.022787028921998267,404.0,,"-0,25",quinta-feira,tarde,xxxxx
2025-08-28 16:31:00,FH,Qui,0.0,0.23390399734161837,global_fallback,0.0,,,0.005050505050505055,2819.0,,0,quinta-feira,tarde,#N/D
2025-08-28 16:33:00,FH,Qui,-1.0,0.40289036268731687,global_fallback,0.0,,,0.009000473709142646,2817.0,,"-0,75",quinta-feira,tarde,#N/D
2025-08-28 16:35:00,FH,Qui,1.0299999999999998,0.3683725157628069,global_fallback,0.0,,,0.0029556650246304354,2725.0,,"+0,25",quinta-feira,tarde,#N/D
2025-08-28 18:33:00,FH,Qui,0.0,0.270996776007752,global_fallback,5.0,0.07,0.08,0.004683840749414524,2755.0,,0,quinta-feira,noite,sbo
2025-08-28 21:36:00,FH,Qui,0.95,0.46850484074412,global_fallback,2.0,0.09,0.05,0.0051282051282051325,263.0,,"-0,25",quinta-feira,noite,sing2
2025-08-28 21:39:00,FH,Qui,0.95,0.4491890441318801,global_fallback,3.0,0.09,0.09,0.0051282051282051325,2870.0,,"-0,5",quinta-feira,noite,v
2025-08-28 21:46:00,FH,Qui,1.0979999999999999,0.2923022663280806,global_fallback,2.0,0.09,0.04,0.008579599618684364,2548.0,,0,quinta-feira,noite,sing2
2025-08-29 09:30:00,FT,Sex,1.234,0.5720853065433636,global_fallback,7.0,0.05,0.07,0.010743061772605202,554.0,,"-1,5",sexta-feira,manhã,sing2
2025-08-29 09:34:00,FT,Sex,-0.5,0.3665808902224919,global_fallback,5.0,0.05,0.05,-0.013645224171539972,1071.0,,-1,sexta-feira,manhã,sing2
2025-08-29 09:35:00,FH,Sex,0.0,0.29903639508499774,global_fallback,2.0,0.09,0.05,0.005617977528089893,654.0,,0,sexta-feira,manhã,sing2
2025-08-29 09:39:00,FT,Sex,-1.0,0.2858756921876365,global_fallback,5.0,0.07,0.07,0.005617977528089893,1970.0,,0,sexta-feira,manhã,sing2
2025-08-29 09:40:00,FH,Sex,0.0,0.4341356040587806,global_fallback,4.0,0.0,0.04,-0.16757410768300054,2484.0,,"-0,25",sexta-feira,manhã,sing2
2025-08-29 10:21:00,FH,Sex,-1.0,0.45157010750958676,global_fallback,3.0,0.0,0.0,-8.941520467836257,1539.0,,"+0,25",sexta-feira,manhã,sing2
2025-08-29 10:22:00,FT,Sex,-1.0,0.42468633241232123,global_fallback,8.0,0.04,0.06,0.003999999999999954,1777.0,,"-0,5",sexta-feira,manhã,sbo
2025-08-29 10:24:00,FT,Sex,-1.0,0.34946782360905726,global_fallback,0.0,,,0.00612341026848815,2556.0,,"-0,25",sexta-feira,manhã,#N/D
2025-08-29 10:25:00,FT,Sex,-1.0,0.43245722860804653,global_fallback,4.0,0.09,0.09,0.005464480874316944,1654.0,,"-0,25",sexta-feira,manhã,sing2
2025-08-29 10:26:00,FT,Sex,0.37,0.4251346707408996,global_fallback,3.0,0.13,0.13,0.005747126436781614,1654.0,,"-0,25",sexta-feira,manhã,sing2
2025-08-29 10:28:00,FT,Sex,1.1110000000000002,0.47654522489886597,global_fallback,6.0,0.05,0.06,0.009947891994315656,1651.0,,"-0,75",sexta-feira,manhã,sing2
2025-08-29 10:31:00,FT,Sex,-1.0,0.30655628308688654,global_fallback,1.0,,0.0,-99.0,295.0,,0,sexta-feira,manhã,pin88
2025-08-29 10:31:00,FT,Sex,0.0,0.3004218118690461,global_fallback,4.0,0.02,0.04,-98.712368168744,1468.0,,0,sexta-feira,manhã,sbo
2025-08-29 10:47:00,FH,Sex,-1.0,0.47220864927995054,global_fallback,3.0,0.07,0.07,0.00612341026848815,1692.0,,"-0,75",sexta-feira,manhã,sing2
2025-08-29 10:53:00,FT,Sex,0.0,0.2704178537586628,global_fallback,3.0,0.02,0.02,0.0,1566.0,,0,sexta-feira,manhã,pin88
2025-08-29 10:55:00,FT,Sex,-1.0,0.44029924273761395,global_fallback,5.0,0.09,0.1,0.005681818181818187,1625.0,,"-0,5",sexta-feira,manhã,sing2
2025-08-29 11:04:00,FT,Sex,0.7090000000000001,0.6365915534397794,global_fallback,1.0,,0.0,-998.9999999999999,352.0,,-2,sexta-feira,manhã,pin88
2025-08-29 11:04:00,FT,Sex,0.81,0.3030453078145305,global_fallback,6.0,0.06,0.07,0.005524861878453044,476.0,,0,sexta-feira,manhã,sing2
2025-08-30 10:26:00,FH,Sáb,1.0630000000000002,0.4201526673679186,global_fallback,3.0,0.02,0.02,0.00290838584585566,1743.0,,"-0,25",sábado,manhã,sbo
2025-08-30 10:31:00,FH,Sáb,0.9099999999999999,0.4806174213992231,global_fallback,2.0,0.06,0.03,-96.90575916230367,508.0,,"-0,25",sábado,manhã,sing2
2025-08-30 10:33:00,FH,Sáb,-1.0,0.4563036053368562,global_fallback,3.0,0.04,0.04,0.00290838584585566,1527.0,,"-0,75",sábado,manhã,sbo
2025-08-30 10:33:00,FT,Sáb,0.8500000000000001,0.3329157423765688,global_fallback,10.0,0.04,0.04,-98.45945945945945,356.0,,0,sábado,manhã,sing2
2025-08-30 10:34:00,FT,Sáb,0.78,0.3029495803856511,global_fallback,3.0,0.04,0.04,-0.06179775280898869,709.0,,0,sábado,manhã,sing2
2025-08-30 10:36:00,FT,Sáb,-1.0,0.3080629210058534,global_fallback,2.0,0.06,0.03,0.005586592178770954,144.0,,0,sábado,manhã,sing2
2025-08-30 10:37:00,FH,Sáb,-1.0,0.47633374968052355,global_fallback,3.0,0.03,0.03,0.005050505050505055,353.0,,"-0,5",sábado,manhã,v
2025-08-30 10:45:00,FH,Sáb,-1.0,0.4539159559392058,global_fallback,2.0,0.08,0.04,0.005586592178770954,285.0,,"+0,25",sábado,manhã,sing2
2025-08-30 11:21:00,FH,Sáb,1.0750000000000002,0.45288806606604814,global_fallback,2.0,0.09,0.04,0.007228915662650662,309.0,,"-0,25",sábado,manhã,sing2
2025-08-30 11:24:00,FT,Sáb,0.839,0.3755440619045895,global_fallback,7.0,0.01,0.03,0.004893964110929797,1715.0,,"+1,25",sábado,manhã,sbo
2025-08-30 11:31:00,FT,Sáb,-1.0,0.29891606187769554,global_fallback,9.0,0.04,0.05,0.034786869181773615,1186.0,,0,sábado,manhã,sing2
2025-08-30 11:31:00,FT,Sáb,-1.0,0.29891378314447853,global_fallback,9.0,0.04,0.05,0.04458598726114649,1186.0,,0,sábado,manhã,sing2
