audit_id,audit_to_finished_ms,audit_to_request_ms,call_to_done_ms,detected_to_audited_ms,execution_id,post_ms,pre_submit_ms,queue_delay_ms,request_created_at,request_to_finished_ms,result_finished_at,shadow_to_request_ms,status,total_ms_timing
421736,,,2364,,60cd942c-4d64-47b1-9ae7-36c8dffa2fbd,799,1117,0,2026-07-29T11:28:10.552561+00:00,2363.584,2026-07-29T11:28:12.916145+00:00,,CAP_BLOCKED,1113
421737,11286.516000000001,2261.703,9025,4.412,979a9f1e-faae-49a0-b8b3-cf2a01be91a4,1699,2214,0,2026-07-29T11:28:10.704022+00:00,9024.813,2026-07-29T11:28:19.728835+00:00,8.751,LIVE_OK,2211
421753,,,3000,,d2dbb82c-35c8-4df9-8df8-96858e0fd59e,1423,1799,0,2026-07-29T11:30:12.246443+00:00,3000.294,2026-07-29T11:30:15.246737+00:00,,CAP_BLOCKED,1795
421770,,,2437,,d6d5b655-eade-4d65-a96a-303f15f6afc2,835,1235,2,2026-07-29T11:32:59.029763+00:00,2437.52,2026-07-29T11:33:01.467283+00:00,,CAP_BLOCKED,1230
421817,,,3163,,fda1c282-6caa-407e-aa0f-6c4f09cea0e6,827,1955,1,2026-07-29T11:39:25.858630+00:00,3162.674,2026-07-29T11:39:29.021304+00:00,,CAP_BLOCKED,1951
421824,,,2430,,72ac2e32-dbbf-41f3-a92e-81d40f1b59e2,926,1224,0,2026-07-29T11:40:02.996260+00:00,2429.6600000000003,2026-07-29T11:40:05.425920+00:00,,CAP_BLOCKED,1219
421828,,,2364,,b32efe73-6526-44db-96d1-1afeb0658fae,772,1162,0,2026-07-29T11:40:33.553991+00:00,2363.692,2026-07-29T11:40:35.917683+00:00,,CAP_BLOCKED,1158
421846,,,1124,,1adeeae1-b522-4d72-beaa-1a935a0d79a0,766,1124,0,2026-07-29T11:43:16.491807+00:00,1124.469,2026-07-29T11:43:17.616276+00:00,,API_FAILED,1121
421875,,,2253,,abffa8e8-2db4-497b-8ce5-9be09c2ae843,717,1052,0,2026-07-29T11:47:43.174587+00:00,2253.307,2026-07-29T11:47:45.427894+00:00,,CAP_BLOCKED,1048
421892,8394.152999999998,3077.124,5317,6.247,90412878-5f1f-4f03-badb-19989bb2777a,776,1679,2,2026-07-29T11:49:35.133640+00:00,5317.0289999999995,2026-07-29T11:49:40.450669+00:00,3026.2250000000004,LIVE_OK,1672
421904,,,2245,,8de0dfa7-9059-4349-b0ba-82c3166749f5,720,1041,0,2026-07-29T11:51:41.509708+00:00,2244.7400000000002,2026-07-29T11:51:43.754448+00:00,,CAP_BLOCKED,1037
421949,,,2634,,cde3b7e6-424b-4179-a505-f9f2b8569549,1154,1430,2,2026-07-29T12:01:03.289896+00:00,2634.41,2026-07-29T12:01:05.924306+00:00,,CAP_BLOCKED,1423
421959,,,2397,,d8354dbd-2278-4ea8-ad11-228ff49fee4b,785,1196,1,2026-07-29T12:03:49.417184+00:00,2397.139,2026-07-29T12:03:51.814323+00:00,,CAP_BLOCKED,1192
421960,,,3574,,b3b19539-ef02-408a-a979-6e5c0da25da8,2002,2368,0,2026-07-29T12:03:52.960348+00:00,3573.682,2026-07-29T12:03:56.534030+00:00,,CAP_BLOCKED,2365
421961,,,2323,,7ab44a25-54c2-4225-988a-34571c662cb6,753,1122,0,2026-07-29T12:04:16.491331+00:00,2323.28,2026-07-29T12:04:18.814611+00:00,,CAP_BLOCKED,1120
421964,,,2523,,35b65910-29a1-47bf-be11-b0fa8c4c19b8,870,1318,1,2026-07-29T12:05:02.908653+00:00,2522.792,2026-07-29T12:05:05.431445+00:00,,CAP_BLOCKED,1311
421979,,,2600,,3336c2ad-70ca-4c4f-8679-bf8705ec137d,834,1345,0,2026-07-29T12:09:02.121742+00:00,2599.592,2026-07-29T12:09:04.721334+00:00,,CAP_BLOCKED,1340
421980,,,3698,,38d64518-8866-4254-a362-98404ed37fe8,2178,2497,0,2026-07-29T12:09:09.371674+00:00,3697.8909999999996,2026-07-29T12:09:13.069565+00:00,,CAP_BLOCKED,2450
421992,6815.83,3190.67,3625,3.8409999999999997,ed69e9dd-fd5b-4221-9b47-c7db17720fb9,789,1169,0,2026-07-29T12:11:53.027523+00:00,3625.1600000000003,2026-07-29T12:11:56.652683+00:00,3032.946,LIVE_OK,1165
422034,,,1996,,f5cba1eb-9b43-4719-8b72-e1520dfaf4dc,772,1996,0,2026-07-29T12:25:10.217815+00:00,1996.1409999999998,2026-07-29T12:25:12.213956+00:00,,API_FAILED,1992
422047,,,2291,,b8a6726f-b845-4182-894b-11df65bb8624,761,1089,0,2026-07-29T12:28:25.932570+00:00,2290.83,2026-07-29T12:28:28.223400+00:00,,CAP_BLOCKED,1084
422052,,,2468,,83d6c3ac-9f8a-49e4-9c43-8e713704dafa,822,1203,0,2026-07-29T12:30:40.946005+00:00,2468.3160000000003,2026-07-29T12:30:43.414321+00:00,,CAP_BLOCKED,1199
