ts,day,era,cum_pnl,cum_stake,cum_roi,order_id
2026-08-02T13:52:15.525835+00:00,2026-08-02,stake2,-40.510000000000026,860.0,-0.04710465116279073,1956855259
2026-08-02T14:20:22.653301+00:00,2026-08-02,stake2,-38.75000000000003,862.0,-0.04495359628770305,1957016525
2026-08-02T14:26:35.205826+00:00,2026-08-02,stake2,-40.75000000000003,864.0,-0.04716435185185189,1957053014
2026-08-02T14:46:52.399283+00:00,2026-08-02,stake2,-39.40000000000003,866.0,-0.045496535796766775,1957174461
2026-08-02T15:00:40.825847+00:00,2026-08-02,stake2,-41.40000000000003,868.0,-0.047695852534562246,1957251384
2026-08-02T18:18:57.779763+00:00,2026-08-02,stake2,-39.64000000000003,870.0,-0.045563218390804634,1958401684
2026-08-02T19:11:34.478851+00:00,2026-08-02,stake2,-41.63000000000003,872.0,-0.04774082568807343,1958693559
2026-08-02T19:26:41.527772+00:00,2026-08-02,stake2,-39.57000000000003,874.0,-0.04527459954233413,1958776889
2026-08-02T19:30:27.660316+00:00,2026-08-02,stake2,-41.57000000000003,876.0,-0.04745433789954341,1958798321
2026-08-02T23:08:13.654260+00:00,2026-08-02,stake2,-40.690000000000026,878.0,-0.04634396355353078,1959779918
2026-08-03T04:00:51.805196+00:00,2026-08-03,stake2,-39.07000000000003,880.0,-0.044397727272727304,1960612609
2026-08-03T18:01:06.935672+00:00,2026-08-03,stake2,-37.36000000000003,882.0,-0.04235827664399096,1963060196
2026-08-03T20:34:53.974257+00:00,2026-08-03,stake2,-35.60000000000003,884.0,-0.040271493212669714,1963795407
2026-08-04T04:02:45.833761+00:00,2026-08-04,stake2,-34.19000000000003,886.0,-0.03858916478555308,1965208793
2026-08-04T06:01:18.129969+00:00,2026-08-04,stake2,-32.430000000000035,888.0,-0.03652027027027031,1965427431
2026-08-04T11:52:40.667734+00:00,2026-08-04,stake2,-34.42000000000004,890.0,-0.03867415730337083,1966150340
2026-08-04T14:30:20.748854+00:00,2026-08-04,stake2,-36.42000000000004,892.0,-0.040829596412556096,1966546087
2026-08-04T14:49:05.954705+00:00,2026-08-04,stake2,-34.500000000000036,894.0,-0.03859060402684568,1966578414
2026-08-04T14:49:08.215444+00:00,2026-08-04,stake2,-32.750000000000036,896.0,-0.03655133928571432,1966578432
2026-08-04T15:15:47.910439+00:00,2026-08-04,stake2,-31.890000000000036,898.0,-0.03551224944320717,1966638033
2026-08-04T15:45:32.399621+00:00,2026-08-04,stake2,-33.69000000000003,900.0,-0.03743333333333337,1966755711
2026-08-04T15:48:46.345828+00:00,2026-08-04,stake2,-32.830000000000034,902.0,-0.03639689578713973,1966766743
2026-08-04T15:51:37.734974+00:00,2026-08-04,stake2,-30.870000000000033,904.0,-0.03414823008849561,1966776073
2026-08-04T16:39:18.936661+00:00,2026-08-04,stake2,-32.860000000000035,906.0,-0.03626931567328922,1966981976
2026-08-04T16:48:28.738247+00:00,2026-08-04,stake2,-30.830000000000034,908.0,-0.033953744493392106,1967025492
2026-08-05T07:51:49.695305+00:00,2026-08-05,stake2,-31.990000000000034,910.0,-0.03515384615384619,1969785000
2026-08-05T08:27:29.436514+00:00,2026-08-05,stake2,-33.99000000000004,912.0,-0.03726973684210531,1969850236
2026-08-05T08:29:12.900626+00:00,2026-08-05,stake2,-35.48000000000004,914.0,-0.038818380743982535,1969853487
2026-08-05T10:18:27.038236+00:00,2026-08-05,stake2,-33.58000000000004,916.0,-0.03665938864628825,1970051593
2026-08-05T10:38:32.394710+00:00,2026-08-05,stake2,-35.58000000000004,918.0,-0.03875816993464057,1970097130
2026-08-05T11:02:11.088397+00:00,2026-08-05,stake2,-37.58000000000004,920.0,-0.040847826086956564,1970136241
2026-08-05T15:00:05.095485+00:00,2026-08-05,stake2,-35.94000000000004,922.0,-0.03898047722342737,1970817831
2026-08-05T17:07:44.943012+00:00,2026-08-05,stake2,-34.04000000000004,924.0,-0.03683982683982689,1971477018
2026-08-05T17:10:51.340816+00:00,2026-08-05,stake2,-36.04000000000004,926.0,-0.038920086393088596,1971492712
2026-08-05T17:15:23.328698+00:00,2026-08-05,stake2,-33.94000000000004,928.0,-0.03657327586206901,1971516607
2026-08-05T17:50:06.674333+00:00,2026-08-05,stake2,-35.59000000000004,930.0,-0.038268817204301114,1971688129
2026-08-06T00:12:26.872448+00:00,2026-08-06,stake2,-33.70000000000004,932.0,-0.036158798283261843,1973235970
2026-08-06T02:15:37.638757+00:00,2026-08-06,stake2,-31.89000000000004,934.0,-0.03414346895074951,1973688890
2026-08-06T04:01:13.933176+00:00,2026-08-06,stake2,-33.89000000000004,936.0,-0.036207264957265006,1973951923
2026-08-06T04:01:14.199958+00:00,2026-08-06,stake2,-31.480000000000043,938.0,-0.033560767590618386,1973951916
2026-08-06T04:01:14.649901+00:00,2026-08-06,stake2,-30.940000000000044,940.0,-0.032914893617021324,1973952168
2026-08-06T06:46:32.433196+00:00,2026-08-06,stake2,-32.94000000000004,942.0,-0.03496815286624208,1974296779
2026-08-06T07:54:00.461678+00:00,2026-08-06,stake2,-31.21000000000004,944.0,-0.033061440677966146,1974438568
2026-08-06T14:51:01.077613+00:00,2026-08-06,stake2,-28.97000000000004,946.0,-0.030623678646934504,1975365473
2026-08-06T14:55:00.506260+00:00,2026-08-06,stake2,-27.19000000000004,948.0,-0.02868143459915616,1975383653
2026-08-06T15:57:34.201593+00:00,2026-08-06,stake2,-29.19000000000004,950.0,-0.030726315789473727,1975646747
2026-08-06T16:37:24.545521+00:00,2026-08-06,stake2,-30.19000000000004,952.0,-0.031712184873949625,1975822153
2026-08-06T17:24:49.062221+00:00,2026-08-06,stake2,-28.23000000000004,954.0,-0.0295911949685535,1976044181
2026-08-07T11:15:04.840804+00:00,2026-08-07,stake2,-30.220000000000038,956.0,-0.03161087866108791,1979346182
